,network_type,noise,threshold,trust_min,trust_max,truth_fraction,mean_persistent,std_persistent
213,ER,0.1,0.8,0.8,1.0,0.3,0.152,0.20874865269026285
214,ER,0.1,0.8,0.8,1.0,0.4,0.0025,0.007664854858377946
215,ER,0.1,0.8,0.8,1.0,0.5,0.0005,0.002179449471770337
216,ER,0.1,0.9,0.2,0.4,0.05,0.0905,0.023124662159694356
217,ER,0.1,0.9,0.2,0.4,0.1,0.11649999999999998,0.029542342493444895
218,ER,0.1,0.9,0.2,0.4,0.2,0.2045,0.03667083309661781
219,ER,0.1,0.9,0.2,0.4,0.3,0.22750000000000004,0.03589916433567779
220,ER,0.1,0.9,0.2,0.4,0.4,0.2765,0.036643553321150504
221,ER,0.1,0.9,0.2,0.4,0.5,0.30799999999999994,0.0388072158238645
222,ER,0.1,0.9,0.4,0.6,0.05,0.1095,0.025391927851189242
223,ER,0.1,0.9,0.4,0.6,0.1,0.143,0.034219877264537346
224,ER,0.1,0.9,0.4,0.6,0.2,0.20950000000000002,0.048007811864320585
225,ER,0.1,0.9,0.4,0.6,0.3,0.248,0.03982461550347975
226,ER,0.1,0.9,0.4,0.6,0.4,0.29600000000000004,0.03231098884280702
227,ER,0.1,0.9,0.4,0.6,0.5,0.306,0.03292415526630866
228,ER,0.1,0.9,0.6,0.8,0.05,0.35550000000000004,0.15882301470504837
229,ER,0.1,0.9,0.6,0.8,0.1,0.404,0.18802659386374046
230,ER,0.1,0.9,0.6,0.8,0.2,0.2925,0.13352434235
231,ER,0.1,0.9,0.6,0.8,0.3,0.21400000000000002,0.1214660446379975
232,ER,0.1,0.9,0.6,0.8,0.4,0.1515,0.06627782434570403
233,ER,0.1,0.9,0.6,0.8,0.5,0.12899999999999998,0.07816009211867653
234,ER,0.1,0.9,0.8,1.0,0.05,0.9280000000000002,0.021587033144922874
235,ER,0.1,0.9,0.8,1.0,0.1,0.8485000000000001,0.04628984769903656
236,ER,0.1,0.9,0.8,1.0,0.2,0.6205,0.14072935017259194
237,ER,0.1,0.9,0.8,1.0,0.3,0.14700000000000002,0.15874822833657073
238,ER,0.1,0.9,0.8,1.0,0.4,0.009,0.039230090491866064
239,ER,0.1,0.9,0.8,1.0,0.5,0.0,0.0
240,ER,0.15,0.5,0.2,0.4,0.05,0.22400000000000003,0.03839270764090493
241,ER,0.15,0.5,0.2,0.4,0.1,0.2455,0.028543825952384166
242,ER,0.15,0.5,0.2,0.4,0.2,0.2755,0.022017038856304
243,ER,0.15,0.5,0.2,0.4,0.3,0.3125,0.025273503912200214
244,ER,0.15,0.5,0.2,0.4,0.4,0.31749999999999995,0.029133314263914432
245,ER,0.15,0.5,0.2,0.4,0.5,0.31649999999999995,0.025548972582082434
246,ER,0.15,0.5,0.4,0.6,0.05,0.25,0.029325756597230364
247,ER,0.15,0.5,0.4,0.6,0.1,0.26149999999999995,0.03134884367883447
248,ER,0.15,0.5,0.4,0.6,0.2,0.29900000000000004,0.030479501308256336
249,ER,0.15,0.5,0.4,0.6,0.3,0.30950000000000005,0.03278337993557101
250,ER,0.15,0.5,0.4,0.6,0.4,0.3225,0.03176082492631449
251,ER,0.15,0.5,0.4,0.6,0.5,0.32199999999999995,0.027129319932501072
252,ER,0.15,0.5,0.6,0.8,0.05,0.41,0.2023116407921205
253,ER,0.15,0.5,0.6,0.8,0.1,0.374,0.15311433636338564
254,ER,0.15,0.5,0.6,0.8,0.2,0.25850000000000006,0.15701194222096612
255,ER,0.15,0.5,0.6,0.8,0.3,0.183,0.10696261028976435
256,ER,0.15,0.5,0.6,0.8,0.4,0.1315,0.0845739321540627
257,ER,0.15,0.5,0.6,0.8,0.5,0.1115,0.07261370394078519
258,ER,0.15,0.5,0.8,1.0,0.05,0.933,0.021470910553583866
259,ER,0.15,0.5,0.8,1.0,0.1,0.8559999999999999,0.024372115213907884
260,ER,0.15,0.5,0.8,1.0,0.2,0.4109999999999999,0.2268457625788941
261,ER,0.15,0.5,0.8,1.0,0.3,0.08449999999999999,0.15945140325503568
262,ER,0.15,0.5,0.8,1.0,0.4,0.006500000000000001,0.02833284313301438
263,ER,0.15,0.5,0.8,1.0,0.5,0.0005,0.002179449471770337
264,ER,0.15,0.6,0.2,0.4,0.05,0.196,0.03261901286060018
265,ER,0.15,0.6,0.2,0.4,0.1,0.219,0.025278449319529078
266,ER,0.15,0.6,0.2,0.4,0.2,0.28,0.023664319132398463
267,ER,0.15,0.6,0.2,0.4,0.3,0.28900000000000003,0.024269322199023193
268,ER,0.15,0.6,0.2,0.4,0.4,0.30449999999999994,0.03734635189680512
269,ER,0.15,0.6,0.2,0.4,0.5,0.32,0.02756809750418045
270,ER,0.15,0.6,0.4,0.6,0.05,0.19150000000000003,0.026697378148424985
271,ER,0.15,0.6,0.4,0.6,0.1,0.22600000000000006,0.0356931365951495
272,ER,0.15,0.6,0.4,0.6,0.2,0.275,0.034999999999999996
273,ER,0.15,0.6,0.4,0.6,0.3,0.2895,0.026547127904916572
274,ER,0.15,0.6,0.4,0.6,0.4,0.31600000000000006,0.04054626986542658
275,ER,0.15,0.6,0.4,0.6,0.5,0.31000000000000005,0.022803508501982764
276,ER,0.15,0.6,0.6,0.8,0.05,0.4745000000000001,0.206820574411735
277,ER,0.15,0.6,0.6,0.8,0.1,0.263,0.17306357213463497
278,ER,0.15,0.6,0.6,0.8,0.2,0.251,0.13985349477220796
279,ER,0.15,0.6,0.6,0.8,0.3,0.19299999999999998,0.12751862609046571
280,ER,0.15,0.6,0.6,0.8,0.4,0.13500000000000004,0.09583840566286565
281,ER,0.15,0.6,0.6,0.8,0.5,0.11950000000000001,0.06256796304819263
282,ER,0.15,0.6,0.8,1.0,0.05,0.93,0.023664319132398446
283,ER,0.15,0.6,0.8,1.0,0.1,0.8445,0.05004747745890896
284,ER,0.15,0.6,0.8,1.0,0.2,0.6335,0.13062446172137895
285,ER,0.15,0.6,0.8,1.0,0.3,0.14550000000000002,0.2011585195809514
286,ER,0.15,0.6,0.8,1.0,0.4,0.0005,0.002179449471770337
287,ER,0.15,0.6,0.8,1.0,0.5,0.0,0.0
288,ER,0.15,0.7,0.2,0.4,0.05,0.1655,0.02597595041572108
289,ER,0.15,0.7,0.2,0.4,0.1,0.194,0.032619012860600184
290,ER,0.15,0.7,0.2,0.4,0.2,0.23650000000000002,0.03539420856580918
291,ER,0.15,0.7,0.2,0.4,0.3,0.2735,0.0359548327766936
292,ER,0.15,0.7,0.2,0.4,0.4,0.3084999999999999,0.0385064929589803
293,ER,0.15,0.7,0.2,0.4,0.5,0.30900000000000005,0.03254228019054597
294,ER,0.15,0.7,0.4,0.6,0.05,0.16800000000000004,0.021817424229271427
295,ER,0.15,0.7,0.4,0.6,0.1,0.202,0.03749666651850535
296,ER,0.15,0.7,0.4,0.6,0.2,0.2425,0.0317608249263145
297,ER,0.15,0.7,0.4,0.6,0.3,0.286,0.03292415526630865
298,ER,0.15,0.7,0.4,0.6,0.4,0.2965,0.03940494892776795
299,ER,0.15,0.7,0.4,0.6,0.5,0.308,0.028213471959331764
300,ER,0.15,0.7,0.6,0.8,0.05,0.36749999999999994,0.16021469970012112
301,ER,0.15,0.7,0.6,0.8,0.1,0.28300000000000003,0.127753669223236
302,ER,0.15,0.7,0.6,0.8,0.2,0.22149999999999997,0.11542421756286676
303,ER,0.15,0.7,0.6,0.8,0.3,0.1805,0.10234622611508448
304,ER,0.15,0.7,0.6,0.8,0.4,0.12899999999999998,0.07835177087979568
305,ER,0.15,0.7,0.6,0.8,0.5,0.101,0.05708765190476833
306,ER,0.15,0.7,0.8,1.0,0.05,0.9325000000000001,0.01639359631075497
307,ER,0.15,0.7,0.8,1.0,0.1,0.828,0.07941032678436728
308,ER,0.15,0.7,0.8,1.0,0.2,0.45150000000000007,0.2445255610360602
309,ER,0.15,0.7,0.8,1.0,0.3,0.07400000000000001,0.13628646301082145
310,ER,0.15,0.7,0.8,1.0,0.4,0.0225,0.0913167564031925
311,ER,0.15,0.7,0.8,1.0,0.5,0.0,0.0
312,ER,0.15,0.8,0.2,0.4,0.05,0.135,0.0239791576165636
313,ER,0.15,0.8,0.2,0.4,0.1,0.166,0.03411744421846396
314,ER,0.15,0.8,0.2,0.4,0.2,0.21050000000000005,0.03456515586540874
315,ER,0.15,0.8,0.2,0.4,0.3,0.261,0.038716921365211876
316,ER,0.15,0.8,0.2,0.4,0.4,0.2935,0.03636963018783666
317,ER,0.15,0.8,0.2,0.4,0.5,0.30799999999999994,0.03641428291206625
318,ER,0.15,0.8,0.4,0.6,0.05,0.13500000000000004,0.032480763537823434
319,ER,0.15,0.8,0.4,0.6,0.1,0.1695,0.033537292675468004
320,ER,0.15,0.8,0.4,0.6,0.2,0.24150000000000005,0.04682680856090878
321,ER,0.15,0.8,0.4,0.6,0.3,0.2725,0.028613807855648987
322,ER,0.15,0.8,0.4,0.6,0.4,0.311,0.035763109484495334
323,ER,0.15,0.8,0.4,0.6,0.5,0.3025,0.03176082492631449
324,ER,0.15,0.8,0.6,0.8,0.05,0.386,0.19103402838238007
325,ER,0.15,0.8,0.6,0.8,0.1,0.3075,0.17037825565488102
326,ER,0.15,0.8,0.6,0.8,0.2,0.2,0.13274034804836096
327,ER,0.15,0.8,0.6,0.8,0.3,0.223,0.11983738982471207
328,ER,0.15,0.8,0.6,0.8,0.4,0.10599999999999998,0.0938829057922687
329,ER,0.15,0.8,0.6,0.8,0.5,0.14100000000000001,0.07777531742140305
330,ER,0.15,0.8,0.8,1.0,0.05,0.9355,0.012835497652993398
331,ER,0.15,0.8,0.8,1.0,0.1,0.8554999999999999,0.039303307748839666
332,ER,0.15,0.8,0.8,1.0,0.2,0.582,0.16317475294910053
333,ER,0.15,0.8,0.8,1.0,0.3,0.095,0.1587608264024851
334,ER,0.15,0.8,0.8,1.0,0.4,0.0025,0.010897247358851685
335,ER,0.15,0.8,0.8,1.0,0.5,0.0,0.0
336,ER,0.15,0.9,0.2,0.4,0.05,0.08650000000000001,0.02612948526090784
337,ER,0.15,0.9,0.2,0.4,0.1,0.128,0.0307571129984594
338,ER,0.15,0.9,0.2,0.4,0.2,0.178,0.03059411708155671
339,ER,0.15,0.9,0.2,0.4,0.3,0.2375,0.03476708213238494
340,ER,0.15,0.9,0.2,0.4,0.4,0.275,0.04832183771339827
